iter	Passed	Remaining
1263	17531	457
1264	17544	443
1265	17559	429
1266	17572	416
1267	17587	402
1268	17603	388
1269	17617	374
1270	17632	360
1271	17646	346
1272	17660	332
1273	17673	319
1274	17686	305
1275	17699	291
1276	17713	277
1277	17726	263
1278	17739	249
1279	17752	235
1280	17768	221
1281	17782	208
1282	17796	194
1283	17809	180
1284	17822	166
1285	17835	152
1286	17849	138
1287	17862	124
1288	17875	110
1289	17889	97
1290	17902	83
1291	17915	69
1292	17929	55
1293	17942	41
1294	17957	27
1295	17970	13
1296	17984	0
